Infrastructure_Type,Defect_Location,Defect_Length_mm,Defect_Width_mm,Defect_Depth_mm,Severity_Level,Lighting_Condition,Occlusion_Level,Inspection_Mode,Target_Defect_Class
Road,Beam,119.87,37.78,5.05,High,Low,Partial,Fixed Camera,Spalling
Bridge,Beam,136.36,36.51,53.2,Medium,Low,Partial,Fixed Camera,Corrosion
Bridge,Column,279.4,43.55,88.75,Low,Normal,Severe,UAV,Healthy
Bridge,Column,103.76,9.88,83.95,High,Low,Severe,UAV,Deformation
Tunnel,Column,150.5,20.36,88.4,Low,Low,Severe,Ground,Spalling
Bridge,Surface,122.36,47.42,92.28,High,High,Partial,UAV,Spalling
Road,Wall,474.51,20.13,11.35,High,Low,Partial,Fixed Camera,Healthy
Road,Wall,472.61,6.68,13.75,Medium,Low,None,UAV,Healthy
Bridge,Deck,306.92,26.51,56.14,High,High,Partial,Fixed Camera,Spalling
Bridge,Column,462.64,5.92,89.5,High,Low,None,Ground,Corrosion
Building,Surface,393.98,10.54,97.46,Low,High,None,Fixed Camera,Corrosion
Road,Surface,297.02,49.92,5.58,Medium,Low,Partial,UAV,Corrosion
Tunnel,Wall,8.19,27.3,36.22,Low,Normal,None,UAV,Spalling
Building,Column,387.4,14.56,22.08,Medium,Normal,None,Ground,Crack
Bridge,Deck,352.73,49.74,75.84,Low,Low,Severe,UAV,Healthy
Bridge,Column,309.55,48.34,64.38,Medium,Normal,None,Ground,Corrosion
Road,Beam,381.41,22.32,12.87,High,High,Partial,Ground,Deformation
Bridge,Column,258.9,13.39,48.87,High,Low,Partial,UAV,Corrosion
Tunnel,Beam,353.52,42.0,68.86,Low,High,None,Fixed Camera,Deformation
Road,Beam,467.91,35.92,78.12,Medium,Normal,Severe,Ground,Corrosion
Bridge,Deck,191.02,34.5,2.99,Medium,High,Partial,Fixed Camera,Spalling
Road,Wall,355.52,44.71,89.16,High,Normal,Partial,UAV,Corrosion
Bridge,Column,240.47,34.63,57.36,Medium,Normal,Severe,Fixed Camera,Corrosion
Bridge,Beam,338.83,14.55,81.38,Medium,Normal,None,Fixed Camera,Healthy
Bridge,Column,382.63,34.85,80.99,High,High,Partial,Fixed Camera,Crack
Tunnel,Wall,27.5,15.64,19.8,Low,Normal,None,Fixed Camera,Corrosion
Tunnel,Wall,325.07,38.08,11.91,High,Low,None,UAV,Crack
Road,Surface,117.24,31.18,72.41,High,Normal,None,UAV,Healthy
Bridge,Wall,336.67,4.33,16.49,High,Low,None,Fixed Camera,Crack
Bridge,Deck,236.82,25.89,85.14,Low,Low,Partial,UAV,Spalling
Tunnel,Beam,387.91,17.49,72.89,Medium,Low,Severe,UAV,Crack
Bridge,Surface,66.08,16.76,84.34,High,Low,Partial,Ground,Corrosion
Tunnel,Deck,315.03,30.31,30.6,Low,High,Severe,UAV,Healthy
Bridge,Column,142.84,16.46,32.34,Medium,Low,None,Fixed Camera,Crack
Road,Beam,427.23,38.96,67.45,Low,Normal,Severe,UAV,Spalling
Bridge,Wall,464.55,4.0,4.11,Low,Low,None,UAV,Crack
Bridge,Beam,498.22,33.19,72.92,Medium,Normal,Partial,UAV,Corrosion
Building,Column,399.02,40.56,83.74,Medium,High,Partial,UAV,Spalling
Tunnel,Surface,378.1,33.81,42.1,Low,Low,Severe,Ground,Spalling
Bridge,Surface,111.67,25.11,76.72,Medium,Normal,None,Fixed Camera,Spalling
Bridge,Surface,171.32,47.54,18.29,Medium,High,None,Fixed Camera,Spalling
Building,Wall,235.51,15.35,32.9,Medium,High,Severe,UAV,Crack
Building,Deck,387.82,1.45,97.46,Medium,Normal,None,UAV,Corrosion
Tunnel,Deck,457.91,21.88,98.65,Medium,Low,None,Ground,Crack
Building,Beam,98.62,2.13,51.75,Medium,High,None,UAV,Deformation
Road,Wall,461.57,47.72,93.49,Low,Normal,Partial,Ground,Deformation
Building,Surface,349.33,10.89,52.75,Medium,Low,Partial,Fixed Camera,Crack
Road,Surface,307.33,39.55,29.87,Medium,High,Partial,Fixed Camera,Crack
Tunnel,Column,103.92,38.84,27.42,Medium,Normal,None,Ground,Crack
Tunnel,Column,32.48,11.28,93.02,Low,High,Partial,Fixed Camera,Healthy
Tunnel,Surface,286.39,31.25,18.07,Medium,High,None,UAV,Deformation
Tunnel,Surface,327.5,2.88,58.38,Low,Normal,None,UAV,Corrosion
Tunnel,Wall,109.34,24.44,56.0,High,High,Severe,Ground,Corrosion
Road,Deck,280.45,1.23,74.22,Low,Normal,None,Fixed Camera,Corrosion
Road,Column,428.96,46.1,50.43,High,Low,Partial,Fixed Camera,Spalling
Tunnel,Deck,418.36,48.82,27.96,Medium,Normal,Partial,Ground,Deformation
Building,Wall,464.04,11.5,17.77,Medium,Low,None,Ground,Corrosion
Bridge,Surface,186.11,10.8,62.46,Low,High,Partial,Fixed Camera,Healthy
Tunnel,Deck,162.43,37.81,72.18,Low,Normal,None,Ground,Spalling
Building,Surface,375.97,13.04,57.38,Low,Normal,Severe,UAV,Crack
Bridge,Surface,218.4,44.81,74.1,Low,Normal,None,Fixed Camera,Spalling
Tunnel,Beam,48.34,28.91,15.01,Medium,Normal,None,Ground,Corrosion
Tunnel,Deck,144.99,17.86,88.36,Low,Low,Severe,Ground,Healthy
Road,Deck,212.2,41.72,58.66,High,Low,Partial,Ground,Corrosion
Bridge,Surface,149.8,24.92,13.56,Low,High,Severe,Fixed Camera,Corrosion
Bridge,Wall,169.44,45.63,46.73,High,High,Severe,UAV,Spalling
Building,Beam,150.42,46.44,84.63,Medium,High,None,UAV,Spalling
Road,Surface,25.54,8.69,89.86,Low,High,None,Fixed Camera,Corrosion
Road,Column,320.36,0.62,27.2,Medium,Normal,Severe,Ground,Healthy
Road,Column,300.66,49.2,71.42,Low,Low,Partial,Fixed Camera,Corrosion
Road,Beam,328.42,45.35,10.9,Low,Low,Severe,Fixed Camera,Crack
Bridge,Wall,100.19,3.24,4.32,Medium,Low,Partial,Ground,Healthy
Bridge,Surface,151.35,41.74,56.48,Medium,Low,Severe,Fixed Camera,Crack
Tunnel,Deck,311.71,23.16,69.79,High,High,Severe,UAV,Crack
Tunnel,Beam,301.82,13.32,79.78,Medium,Normal,Partial,Fixed Camera,Spalling
Road,Wall,255.63,44.0,34.68,High,Low,Severe,Ground,Crack
Road,Deck,178.45,10.24,1.65,High,Normal,None,Fixed Camera,Healthy
Road,Column,456.9,47.39,48.47,High,Normal,Severe,UAV,Corrosion
Tunnel,Column,173.19,10.68,2.57,Medium,Normal,None,Fixed Camera,Spalling
Building,Deck,230.53,30.88,10.11,Low,Normal,Partial,Fixed Camera,Crack
Building,Beam,340.67,11.54,33.34,Low,Low,Partial,Fixed Camera,Corrosion
Tunnel,Column,273.8,27.51,44.28,Medium,Low,None,Fixed Camera,Spalling
Tunnel,Surface,176.71,34.36,28.67,Medium,Low,Severe,Ground,Spalling
Tunnel,Deck,220.64,9.92,58.6,Low,High,None,UAV,Deformation
Tunnel,Deck,398.27,26.28,6.48,Medium,Low,None,UAV,Crack
Tunnel,Column,142.67,23.72,15.31,Low,High,Partial,UAV,Spalling
Tunnel,Beam,75.42,4.02,69.83,Medium,High,None,Fixed Camera,Corrosion
Road,Surface,160.02,41.01,15.07,Low,High,Severe,UAV,Spalling
Road,Beam,425.52,17.12,64.34,Medium,Low,None,Ground,Spalling
Road,Wall,49.05,28.94,6.41,High,Low,Partial,Fixed Camera,Crack
Road,Wall,495.89,25.98,41.33,Low,Low,Severe,Fixed Camera,Spalling
Tunnel,Column,272.8,25.91,18.56,Medium,High,Partial,UAV,Crack
Building,Column,492.5,5.81,11.85,High,High,None,Fixed Camera,Spalling
Bridge,Column,469.8,21.46,57.14,Low,Normal,None,Fixed Camera,Deformation
Tunnel,Wall,229.14,22.89,92.91,Low,High,Partial,UAV,Crack
Bridge,Beam,103.25,36.82,6.42,Low,High,Partial,Ground,Healthy
Building,Beam,86.62,42.08,42.73,Medium,Low,Severe,Ground,Corrosion
Road,Column,123.79,27.48,71.05,Medium,Normal,Partial,UAV,Healthy
Building,Surface,356.52,4.8,46.81,Low,Normal,Partial,Ground,Crack
Tunnel,Beam,140.11,12.22,80.84,Medium,Normal,None,Ground,Healthy
Road,Wall,174.01,8.66,18.78,Low,Low,None,Ground,Crack
Tunnel,Deck,227.15,6.67,96.0,High,Normal,Partial,Fixed Camera,Corrosion
Road,Deck,457.05,18.61,39.13,Low,Normal,Partial,Fixed Camera,Healthy
Bridge,Deck,98.75,11.85,34.82,High,Low,None,Fixed Camera,Crack
Bridge,Surface,7.49,11.31,87.59,Medium,Normal,Severe,Ground,Crack
Bridge,Column,34.75,3.21,56.82,Medium,High,Severe,Fixed Camera,Deformation
Building,Wall,452.86,1.37,52.13,Medium,High,Severe,Ground,Spalling
Tunnel,Surface,325.52,5.59,72.97,Medium,High,Severe,UAV,Spalling
Building,Wall,140.16,9.02,58.4,Low,High,None,Ground,Crack
Bridge,Wall,92.71,21.83,17.09,High,High,Partial,Fixed Camera,Spalling
Tunnel,Column,150.66,25.77,67.75,Medium,High,Severe,Ground,Crack
Bridge,Deck,61.82,7.46,14.21,Medium,High,None,Fixed Camera,Healthy
Building,Column,471.06,21.53,80.78,Medium,High,Partial,Fixed Camera,Deformation
Building,Surface,393.18,17.42,98.98,High,High,Severe,UAV,Deformation
Building,Surface,233.88,9.58,38.36,Medium,Low,Partial,UAV,Crack
Bridge,Surface,433.16,0.84,45.03,Low,Low,Severe,Fixed Camera,Healthy
Tunnel,Column,128.48,23.62,5.6,Medium,High,Partial,Ground,Spalling
Tunnel,Wall,359.97,34.44,2.36,Medium,Low,Severe,UAV,Healthy
Bridge,Wall,428.79,11.7,92.22,High,Low,Severe,UAV,Crack
Tunnel,Beam,181.6,7.02,13.73,High,High,Partial,Fixed Camera,Deformation
Bridge,Surface,379.94,44.41,45.13,Medium,High,Partial,Ground,Spalling
Tunnel,Wall,151.06,14.11,81.72,Low,Low,Partial,UAV,Crack
Road,Beam,152.93,11.57,89.04,High,High,None,UAV,Corrosion
Road,Wall,57.99,42.93,52.42,Medium,High,None,Ground,Crack
Building,Surface,222.83,40.95,56.94,High,High,Partial,UAV,Corrosion
Road,Deck,366.21,22.69,67.3,Low,High,None,Ground,Corrosion
Road,Surface,470.41,24.72,96.18,Low,Low,Severe,Fixed Camera,Corrosion
Road,Column,303.88,11.28,60.66,Low,Normal,Partial,UAV,Spalling
Bridge,Wall,432.25,4.38,56.39,Medium,Low,None,Fixed Camera,Spalling
Road,Wall,412.13,28.88,2.44,High,Normal,Partial,Ground,Crack
Road,Column,90.8,5.37,9.01,Low,Normal,Severe,Fixed Camera,Deformation
Building,Column,245.48,22.74,58.14,Medium,Normal,Severe,Fixed Camera,Healthy
Road,Deck,62.88,47.05,93.69,Medium,Low,None,Fixed Camera,Corrosion
Road,Wall,342.67,47.67,86.8,Medium,Low,Severe,Ground,Crack
Tunnel,Wall,475.2,12.35,98.28,Low,Low,Partial,Ground,Spalling
Building,Deck,72.86,31.39,53.26,High,Low,None,Ground,Deformation
Building,Beam,368.27,23.97,79.01,Low,Low,Partial,Ground,Spalling
Building,Deck,317.96,43.85,84.2,High,Normal,Partial,Ground,Spalling
Building,Surface,293.88,13.94,65.16,Low,Low,Partial,UAV,Crack
Building,Wall,198.11,0.68,34.54,Medium,Normal,Severe,UAV,Deformation
Building,Column,180.79,8.55,47.53,High,Low,Partial,UAV,Corrosion
Bridge,Surface,27.4,17.8,85.93,Low,Low,Severe,Fixed Camera,Crack
Road,Wall,112.86,16.13,30.56,Low,High,Partial,Fixed Camera,Crack
Building,Deck,12.51,39.67,92.45,Medium,Normal,Severe,Ground,Corrosion
Road,Surface,292.8,34.19,23.75,Medium,Low,Severe,Ground,Spalling
Road,Wall,57.4,15.33,75.2,Medium,Low,Severe,UAV,Spalling
Bridge,Beam,437.14,23.16,63.43,Low,Low,Partial,Ground,Healthy
Building,Beam,263.96,5.23,75.21,Low,High,Partial,Fixed Camera,Crack
Tunnel,Column,351.35,44.96,44.3,Medium,Normal,Severe,Ground,Healthy
Bridge,Wall,208.37,46.8,93.33,Low,Low,Partial,UAV,Spalling
Tunnel,Beam,282.49,49.0,63.61,High,Low,Severe,Ground,Corrosion
Road,Deck,471.62,43.49,29.54,Low,Low,Partial,Fixed Camera,Healthy
Road,Wall,45.95,9.11,64.21,Medium,High,Severe,UAV,Deformation
Bridge,Deck,130.7,2.79,29.39,Low,Low,Severe,Ground,Corrosion
Bridge,Deck,391.09,29.19,30.07,Low,Normal,None,Fixed Camera,Healthy
Tunnel,Beam,53.87,45.67,40.56,Medium,Normal,Partial,UAV,Spalling
Building,Wall,42.45,9.28,85.39,Medium,Normal,Partial,UAV,Deformation
Tunnel,Surface,183.96,0.85,50.53,Low,Normal,None,Fixed Camera,Healthy
Bridge,Beam,50.62,40.37,68.21,Low,Low,Severe,Ground,Corrosion
Tunnel,Beam,294.61,4.3,39.8,Low,High,Severe,Ground,Spalling
Bridge,Wall,117.01,20.98,27.1,High,High,None,Ground,Deformation
Tunnel,Wall,448.37,34.1,95.51,Medium,High,None,UAV,Corrosion
Bridge,Deck,392.83,12.22,60.75,Low,Low,Severe,UAV,Crack
Bridge,Wall,351.35,4.66,93.46,Medium,High,Partial,Ground,Deformation
Bridge,Deck,310.39,38.62,21.14,Medium,Normal,None,UAV,Crack
Building,Beam,432.42,31.69,15.54,High,Low,None,UAV,Deformation
Tunnel,Column,115.42,49.43,85.73,High,High,None,Fixed Camera,Healthy
Tunnel,Surface,437.19,17.54,68.41,Low,Normal,None,Ground,Corrosion
Tunnel,Beam,395.8,3.56,19.47,Low,Normal,None,Ground,Crack
Bridge,Wall,375.34,36.85,27.67,Low,Low,None,Ground,Crack
Tunnel,Surface,282.82,26.33,80.27,High,Low,Severe,UAV,Spalling
Tunnel,Column,126.89,11.05,45.93,High,High,Severe,UAV,Healthy
Bridge,Column,214.66,39.2,67.38,Medium,High,None,UAV,Spalling
Road,Deck,397.82,10.59,32.52,Low,High,Severe,Ground,Crack
Bridge,Surface,20.73,13.4,38.74,Medium,Low,Partial,UAV,Spalling
Tunnel,Deck,392.12,5.08,99.08,Low,High,Partial,Ground,Deformation
Bridge,Beam,123.84,20.27,25.51,Low,High,None,UAV,Corrosion
Road,Surface,76.43,21.24,51.14,Medium,Normal,Partial,Ground,Deformation
Bridge,Beam,62.27,25.97,84.6,Low,Normal,Partial,Fixed Camera,Corrosion
Tunnel,Deck,18.49,35.59,24.68,Low,Normal,Severe,UAV,Deformation
Road,Surface,264.18,45.35,42.11,Medium,High,Severe,Ground,Corrosion
Building,Deck,113.04,7.32,61.89,Low,Low,Severe,Fixed Camera,Crack
Tunnel,Surface,494.77,3.19,48.64,Low,Normal,Severe,Fixed Camera,Healthy
Road,Deck,289.35,1.42,46.49,Low,Low,Partial,UAV,Spalling
Road,Column,73.25,7.61,36.89,High,High,None,Ground,Corrosion
Building,Deck,345.94,33.07,59.08,High,High,Severe,UAV,Healthy
Bridge,Column,449.38,36.51,62.81,Low,Normal,Partial,Fixed Camera,Deformation
Bridge,Deck,373.86,39.43,65.68,Medium,Low,Severe,UAV,Crack
Tunnel,Surface,42.84,12.56,7.97,Low,Normal,Partial,Ground,Spalling
Building,Surface,448.46,15.64,63.47,Medium,High,Severe,Fixed Camera,Healthy
Bridge,Surface,398.0,24.42,95.37,Medium,Low,None,UAV,Deformation
Building,Wall,83.36,3.63,54.56,High,Normal,Severe,UAV,Crack
Bridge,Beam,30.63,30.75,71.81,Medium,High,None,UAV,Spalling
Road,Surface,280.87,49.19,56.12,High,Normal,Severe,UAV,Spalling
Bridge,Column,82.24,18.36,85.62,High,Low,Severe,UAV,Deformation
Building,Surface,418.12,37.77,93.03,High,Low,Severe,Fixed Camera,Crack
Road,Wall,182.38,25.25,19.24,Medium,Low,Partial,Fixed Camera,Deformation
Road,Column,456.88,6.83,44.25,Low,Low,Partial,Ground,Crack
Road,Wall,285.02,29.32,39.85,Low,Low,None,UAV,Deformation
Building,Column,95.42,15.34,41.12,Low,Normal,None,Ground,Healthy
Tunnel,Deck,74.1,2.2,13.43,Low,Normal,Partial,Fixed Camera,Crack
Tunnel,Beam,290.35,31.93,81.55,Medium,Normal,None,UAV,Corrosion
Tunnel,Beam,382.13,43.02,4.54,Medium,Normal,None,Ground,Spalling
Building,Wall,391.85,17.57,53.29,High,High,Partial,UAV,Deformation
Road,Beam,141.5,19.82,66.53,Low,High,Partial,UAV,Corrosion
Tunnel,Wall,106.1,44.61,21.54,Low,Normal,Partial,Ground,Spalling
Building,Wall,13.29,40.77,90.68,High,High,Partial,Fixed Camera,Healthy
Tunnel,Wall,341.2,35.89,84.02,Low,High,Severe,Ground,Deformation
Bridge,Beam,42.9,12.82,47.64,Low,Low,Partial,Ground,Deformation
Tunnel,Wall,213.28,45.56,41.7,High,Normal,None,Ground,Corrosion
Tunnel,Beam,302.83,8.14,24.42,High,High,Severe,UAV,Healthy
Road,Wall,468.87,31.53,73.27,Medium,High,Severe,Fixed Camera,Crack
Building,Surface,159.34,1.93,14.04,High,Normal,None,Fixed Camera,Crack
Road,Wall,128.64,32.36,68.34,Medium,Low,Severe,UAV,Corrosion
Road,Column,328.81,14.22,84.4,High,Normal,None,Fixed Camera,Spalling
Road,Wall,311.52,22.76,23.62,High,Low,Severe,Ground,Healthy
Road,Deck,169.39,17.59,86.78,Low,High,Severe,Fixed Camera,Crack
Road,Wall,464.41,9.05,4.3,Medium,Low,None,UAV,Deformation
Tunnel,Column,423.21,31.29,91.37,Low,Low,None,Fixed Camera,Deformation
Road,Column,115.87,44.16,12.72,Low,Normal,None,UAV,Spalling
Road,Beam,123.38,47.97,64.93,High,High,None,Ground,Deformation
Building,Surface,258.59,10.02,25.76,Medium,Normal,Partial,UAV,Crack
Bridge,Wall,387.92,36.01,83.82,Medium,Normal,Partial,Fixed Camera,Crack
Tunnel,Beam,26.8,33.38,51.72,High,High,None,Ground,Healthy
Tunnel,Surface,348.2,17.5,14.39,High,Normal,Partial,Fixed Camera,Corrosion
Tunnel,Wall,325.88,1.45,57.53,High,Normal,None,UAV,Crack
Road,Deck,119.58,34.64,41.38,Medium,Low,None,Ground,Deformation
Road,Wall,342.27,47.3,66.48,Low,Normal,Severe,UAV,Healthy
Road,Column,470.39,31.79,88.31,Low,High,None,Fixed Camera,Spalling
Building,Column,28.16,22.05,41.53,Medium,Normal,None,UAV,Corrosion
Bridge,Deck,163.23,26.5,29.7,Low,Low,None,Fixed Camera,Corrosion
Road,Beam,221.9,10.38,2.44,Medium,Normal,None,Fixed Camera,Deformation
Bridge,Surface,450.13,37.65,57.91,Medium,Normal,Severe,Ground,Crack
Building,Wall,481.32,37.45,40.83,High,Normal,None,Ground,Crack
Tunnel,Column,224.84,7.7,38.09,Medium,Low,Severe,UAV,Corrosion
Road,Beam,376.26,43.96,19.11,Medium,High,None,Fixed Camera,Spalling
Bridge,Deck,268.17,13.82,43.58,Low,High,Severe,Fixed Camera,Corrosion
Bridge,Column,271.2,49.12,98.46,Low,Low,Partial,Ground,Corrosion
Road,Deck,142.66,19.45,30.48,Low,Low,Severe,Ground,Crack
Tunnel,Wall,112.39,9.31,60.37,High,Normal,Severe,Ground,Crack
Tunnel,Surface,147.56,17.91,77.87,Low,High,None,Ground,Crack
Tunnel,Column,280.38,22.29,75.17,Medium,Low,Severe,UAV,Spalling
Building,Column,19.43,3.93,33.55,Medium,High,Severe,UAV,Spalling
Bridge,Wall,454.09,29.12,61.48,Low,Normal,None,UAV,Corrosion
Bridge,Beam,82.36,30.08,87.26,Low,Low,Partial,UAV,Corrosion
Bridge,Surface,113.94,37.08,2.53,Medium,High,Partial,Ground,Crack
Building,Column,261.55,1.94,44.14,Medium,High,Partial,UAV,Corrosion
Bridge,Surface,356.51,27.29,23.2,High,Normal,Severe,UAV,Crack
Building,Column,52.39,3.12,39.47,Medium,Low,None,UAV,Crack
Tunnel,Surface,162.26,35.21,42.18,Medium,High,Partial,Ground,Corrosion
Road,Deck,484.49,3.26,74.92,High,Normal,Partial,Fixed Camera,Healthy
Bridge,Column,134.86,45.63,10.29,Medium,High,Partial,Ground,Corrosion
Bridge,Surface,159.96,35.25,51.75,High,Normal,Partial,Fixed Camera,Healthy
Tunnel,Beam,419.07,25.62,56.86,Low,High,None,Fixed Camera,Corrosion
Road,Deck,29.86,22.35,49.92,Medium,High,Partial,UAV,Corrosion
Building,Deck,234.98,6.97,73.46,Low,Normal,Severe,UAV,Deformation
Road,Beam,192.91,14.9,39.0,Low,Low,Severe,UAV,Crack
Tunnel,Surface,161.71,43.51,94.55,Low,Normal,None,Ground,Crack
Tunnel,Wall,146.42,45.27,48.7,Medium,Low,Partial,Ground,Healthy
Road,Beam,50.23,0.54,57.55,Low,High,Partial,UAV,Spalling
Building,Surface,160.84,29.91,82.73,Low,High,Severe,Ground,Crack
Building,Beam,26.31,36.11,28.25,High,Normal,None,Ground,Crack
Bridge,Beam,391.58,31.13,8.45,High,Normal,Severe,Fixed Camera,Healthy
Building,Column,202.12,4.54,71.07,Medium,Low,None,Ground,Healthy
Road,Surface,224.73,11.28,48.82,High,Low,None,Fixed Camera,Corrosion
Tunnel,Wall,447.33,12.89,89.75,High,Low,None,UAV,Crack
Bridge,Column,330.74,41.67,98.29,Medium,Normal,Severe,Ground,Deformation
Bridge,Beam,8.99,23.43,40.51,Low,High,None,Fixed Camera,Corrosion
Tunnel,Beam,471.87,24.6,42.13,High,Normal,Severe,Ground,Corrosion
Building,Beam,122.39,46.78,41.39,Medium,High,Severe,Fixed Camera,Deformation
Tunnel,Surface,58.27,32.04,33.13,Medium,Normal,Partial,Fixed Camera,Corrosion
Building,Surface,385.22,44.98,78.39,Medium,Normal,Severe,Ground,Spalling
Tunnel,Column,252.74,23.1,76.14,Medium,Low,Severe,UAV,Healthy
Road,Wall,219.72,7.9,48.39,High,High,Partial,Fixed Camera,Deformation
Building,Column,128.5,46.53,5.42,Low,Normal,Partial,UAV,Corrosion
Road,Deck,276.0,23.21,31.65,High,Normal,Partial,Ground,Corrosion
Bridge,Beam,140.82,9.49,29.94,High,High,None,Ground,Corrosion
Tunnel,Beam,451.28,15.47,81.3,Medium,Normal,None,UAV,Corrosion
Bridge,Beam,111.53,3.01,9.67,Medium,High,Partial,Ground,Corrosion
Bridge,Column,442.76,23.68,80.76,Low,Low,None,Fixed Camera,Corrosion
Bridge,Column,281.91,42.73,67.25,Low,Low,Partial,UAV,Crack
Bridge,Beam,415.1,46.71,73.51,Low,High,None,Ground,Crack
Tunnel,Column,357.86,46.66,43.79,High,Low,Severe,Ground,Corrosion
Bridge,Surface,349.86,6.7,68.29,Medium,High,None,UAV,Spalling
Tunnel,Surface,165.55,19.41,61.29,Low,Normal,None,Fixed Camera,Spalling
Tunnel,Column,120.78,1.9,77.13,Low,Normal,Severe,UAV,Corrosion
Road,Beam,109.39,42.83,45.23,High,High,Partial,Ground,Deformation
Building,Column,429.31,18.26,47.81,Low,Normal,None,Ground,Deformation
Building,Column,411.11,31.74,64.71,High,Low,None,UAV,Corrosion
Tunnel,Column,223.08,35.89,11.7,Low,Normal,Severe,Fixed Camera,Crack
Road,Deck,70.54,21.78,44.19,Medium,Normal,Severe,Fixed Camera,Spalling
Tunnel,Surface,194.21,15.67,97.22,Low,High,Severe,Fixed Camera,Corrosion
Tunnel,Wall,311.58,48.13,4.72,Medium,Low,Severe,UAV,Crack
Tunnel,Wall,229.93,48.24,32.28,Medium,Normal,Partial,Fixed Camera,Healthy
Road,Deck,391.19,14.83,32.1,Low,Normal,None,Fixed Camera,Corrosion
Building,Column,498.82,24.24,63.71,Medium,High,None,Fixed Camera,Spalling
Road,Deck,99.61,48.66,11.47,Medium,High,None,Fixed Camera,Corrosion
Bridge,Deck,232.53,0.74,63.23,Medium,Low,None,Ground,Crack
Road,Beam,218.34,20.93,10.41,High,Normal,Partial,UAV,Crack
Road,Surface,155.72,5.47,10.4,Low,High,None,UAV,Spalling
Road,Wall,103.06,25.7,73.09,Medium,High,Partial,Fixed Camera,Crack
Road,Column,37.52,1.72,33.09,High,High,Partial,UAV,Crack
Building,Wall,444.12,20.64,97.76,High,Low,Severe,UAV,Healthy
Bridge,Wall,212.83,11.42,4.7,High,High,Severe,Ground,Corrosion
Building,Surface,250.96,26.9,45.07,Low,Low,None,UAV,Crack
Building,Wall,458.89,49.8,12.2,High,Low,Partial,Ground,Corrosion
Road,Wall,389.26,40.13,35.79,Medium,Normal,Severe,UAV,Spalling
Tunnel,Deck,69.6,42.36,99.82,Low,Normal,Partial,Ground,Corrosion
Tunnel,Surface,284.88,31.95,89.0,High,Low,Severe,Ground,Crack
Building,Beam,223.91,2.56,5.78,Medium,Normal,Partial,UAV,Corrosion
Building,Column,399.62,10.74,56.76,Low,Normal,None,Ground,Crack
Road,Wall,363.5,46.29,65.13,Low,High,None,Ground,Spalling
Building,Column,346.75,18.62,21.74,High,Normal,Partial,UAV,Spalling
Road,Beam,173.57,5.63,15.37,Low,Low,Severe,Ground,Crack
Tunnel,Column,403.46,35.27,90.53,Low,Normal,Severe,Ground,Corrosion
Tunnel,Beam,30.93,15.32,96.91,Medium,High,None,Ground,Corrosion
Bridge,Deck,84.01,13.81,99.2,Low,Low,None,Ground,Spalling
Tunnel,Wall,171.13,49.9,79.19,High,Normal,None,Ground,Corrosion
Building,Beam,43.02,42.98,66.69,Medium,Low,Severe,Fixed Camera,Corrosion
Tunnel,Column,121.32,20.69,35.23,Medium,Normal,Severe,Ground,Healthy
Road,Wall,415.92,49.02,17.97,High,High,None,Ground,Crack
Tunnel,Deck,474.38,32.68,8.82,Medium,Normal,Partial,Ground,Healthy
Bridge,Wall,155.78,37.23,69.64,Low,Low,Severe,Ground,Crack
Tunnel,Beam,135.94,2.06,78.69,High,Low,None,UAV,Corrosion
Road,Deck,143.55,6.52,82.82,Medium,Low,Partial,Fixed Camera,Corrosion
Road,Column,142.47,31.84,91.46,Low,Normal,Severe,UAV,Crack
Building,Deck,22.79,45.0,88.11,Medium,Normal,Partial,Fixed Camera,Crack
Tunnel,Deck,463.82,31.38,99.97,High,Normal,Partial,Ground,Crack
Road,Surface,110.78,7.13,25.16,High,High,Severe,Ground,Healthy
Bridge,Deck,212.9,6.23,76.57,High,High,None,Fixed Camera,Corrosion
Building,Deck,9.8,42.29,59.06,High,High,Partial,Fixed Camera,Spalling
Bridge,Wall,429.69,7.4,26.86,High,Low,None,UAV,Deformation
Tunnel,Column,366.92,26.25,98.21,High,Low,Severe,Fixed Camera,Deformation
Tunnel,Wall,473.64,2.34,89.89,Low,Low,Partial,Ground,Deformation
Tunnel,Wall,391.9,4.49,13.72,Low,Low,Partial,UAV,Corrosion
Building,Beam,160.28,33.78,3.59,Medium,Low,Partial,Fixed Camera,Crack
Road,Wall,127.7,34.61,69.14,Medium,Normal,Partial,Fixed Camera,Corrosion
Building,Surface,350.37,17.4,60.81,Low,Low,Partial,UAV,Crack
Bridge,Surface,185.24,11.17,93.65,Low,Normal,Severe,Fixed Camera,Crack
Building,Beam,285.28,40.78,24.17,Low,High,Partial,Ground,Crack
Bridge,Column,8.1,11.25,9.35,Medium,High,Severe,UAV,Healthy
Building,Column,35.63,27.33,26.66,High,High,None,Fixed Camera,Healthy
Road,Wall,270.01,48.43,2.87,High,High,Severe,Ground,Crack
Bridge,Wall,285.21,7.82,4.55,High,High,Partial,Fixed Camera,Crack
Tunnel,Wall,376.97,47.07,91.57,High,Low,None,UAV,Crack
Tunnel,Column,70.32,9.55,35.85,Medium,Low,Severe,Fixed Camera,Corrosion
Building,Deck,259.03,28.59,41.67,Low,Low,Severe,Fixed Camera,Crack
Tunnel,Surface,101.25,19.16,2.82,Low,High,Severe,Fixed Camera,Healthy
Bridge,Deck,51.13,48.26,27.78,Medium,High,Partial,Ground,Crack
